No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,time2,time1,delay,delay2,delay1,jitter,
144,2.941983,172.217.194.138,192.168.43.46,TLSv1.2,634,"[TCP Previous segment not captured] , Application Data, Application Data",,,,,,,,,,,,,,,,,,9.845012,2.941983,6.903029,0.000378,6.902651,-6.902273,
425,9.845012,34.101.5.48,192.168.43.46,TCP,66,[TCP Previous segment not captured] 80  >  49304 [ACK] Seq=2355 Ack=360 Win=259 Len=0 SLE=1 SRE=360,,,,,,,,,,,,,,,,,,9.84539,9.845012,0.000378,0.042697,-0.042319,0.085016,
427,9.84539,34.101.5.48,192.168.43.46,TCP,1414,[TCP Previous segment not captured] 80  >  49304 [ACK] Seq=3715 Ack=360 Win=259 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,9.888087,9.84539,0.042697,3.310343,-3.267646,6.577989,
440,9.888087,34.101.5.48,192.168.43.46,TCP,635,"[TCP Previous segment not captured] 80  >  49304 [PSH, ACK] Seq=11875 Ack=360 Win=259 Len=581 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,13.19843,9.888087,3.310343,0.210748,3.099595,-2.888847,
663,13.19843,74.125.24.95,192.168.43.46,TCP,252,"[TCP Previous segment not captured] 443  >  49316 [PSH, ACK] Seq=2721 Ack=518 Win=66816 Len=198 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,13.409178,13.19843,0.210748,0.272992,-0.062244,0.335236,
676,13.409178,172.217.194.97,192.168.43.46,TCP,54,[TCP Previous segment not captured] 443  >  49295 [ACK] Seq=3367 Ack=39 Win=269 Len=0,,,,,,,,,,,,,,,,,,13.68217,13.409178,0.272992,0,0.272992,-0.272992,
702,13.68217,74.125.24.113,192.168.43.46,TCP,1414,[TCP Previous segment not captured] 443  >  49317 [ACK] Seq=1361 Ack=213 Win=66816 Len=1360 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,13.68217,13.68217,0,0.151775,-0.151775,0.30355,
706,13.68217,74.125.24.95,192.168.43.46,TLSv1.3,85,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,,,,13.833945,13.68217,0.151775,0.149135,0.00264,0.146495,
725,13.833945,74.125.24.113,192.168.43.46,TLSv1.2,1414,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,,,,13.98308,13.833945,0.149135,0.630287,-0.481152,1.111439,
731,13.98308,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,,,,14.613367,13.98308,0.630287,0.002024,0.628263,-0.626239,
753,14.613367,34.101.5.48,192.168.43.46,TCP,1414,[TCP Previous segment not captured] 80  >  49304 [ACK] Seq=15176 Ack=719 Win=263 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,14.615391,14.613367,0.002024,0.545338,-0.543314,1.088652,
760,14.615391,34.101.5.48,192.168.43.46,TCP,549,"[TCP Previous segment not captured] 80  >  49304 [PSH, ACK] Seq=21976 Ack=719 Win=263 Len=495 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,15.160729,14.615391,0.545338,3.15687,-2.611532,5.768402,
771,15.160729,74.125.24.113,192.168.43.46,TCP,54,[TCP Previous segment not captured] 443  >  49317 [ACK] Seq=22624 Ack=897 Win=68864 Len=0,,,,,,,,,,,,,,,,,,18.317599,15.160729,3.15687,5.727293,-2.570423,8.297716,
910,18.317599,34.101.5.48,192.168.43.46,TCP,108,"[TCP Previous segment not captured] 80  >  49304 [PSH, ACK] Seq=33351 Ack=1078 Win=267 Len=54 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,24.044892,18.317599,5.727293,1.009372,4.717921,-3.708549,
1015,24.044892,34.101.5.48,192.168.43.46,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,25.054264,24.044892,1.009372,0.615165,0.394207,0.220958,
1034,25.054264,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,25.669429,25.054264,0.615165,0.019584,0.595581,-0.575997,
1055,25.669429,34.101.5.48,192.168.43.46,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,25.689013,25.669429,0.019584,0.063623,-0.044039,0.107662,
1061,25.689013,34.101.5.48,192.168.43.46,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,25.752636,25.689013,0.063623,0.201092,-0.137469,0.338561,
1067,25.752636,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,25.953728,25.752636,0.201092,0.099053,0.102039,-0.002986,
1074,25.953728,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,26.052781,25.953728,0.099053,0.104063,-0.00501,0.109073,
1079,26.052781,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,26.156844,26.052781,0.104063,0.081807,0.022256,0.059551,
1083,26.156844,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,26.238651,26.156844,0.081807,0.117999,-0.036192,0.154191,
1087,26.238651,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,26.35665,26.238651,0.117999,1.497103,-1.379104,2.876207,
1091,26.35665,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,27.853753,26.35665,1.497103,3.239308,-1.742205,4.981513,
1143,27.853753,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,31.093061,27.853753,3.239308,0.617644,2.621664,-2.00402,
1249,31.093061,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,31.710705,31.093061,0.617644,0.246289,0.371355,-0.125066,
1273,31.710705,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,31.956994,31.710705,0.246289,0.10198,0.144309,-0.042329,
1287,31.956994,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,32.058974,31.956994,0.10198,0.074393,0.027587,0.046806,
1290,32.058974,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,32.133367,32.058974,0.074393,0.595316,-0.520923,1.116239,
1296,32.133367,34.101.5.48,192.168.43.46,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,32.728683,32.133367,0.595316,6.594144,-5.998828,12.592972,
1321,32.728683,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,39.322827,32.728683,6.594144,4.168898,2.425246,1.743652,
1531,39.322827,74.125.24.149,192.168.43.46,TCP,211,"[TCP Previous segment not captured] 443  >  49319 [PSH, ACK] Seq=2721 Ack=518 Win=66816 Len=157 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,43.491725,39.322827,4.168898,0.000372,4.168526,-4.168154,
1654,43.491725,103.234.120.176,192.168.43.46,TCP,638,"[TCP Previous segment not captured] 443  >  49320 [PSH, ACK] Seq=2721 Ack=518 Win=66816 Len=584 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,43.492097,43.491725,0.000372,1.832547,-1.832175,3.664722,
1656,43.492097,103.234.120.176,192.168.43.46,TLSv1.2,638,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,45.324644,43.492097,1.832547,8.400689,-6.568142,14.968831,
1741,45.324644,172.217.194.94,192.168.43.46,TLSv1.2,1365,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,53.725333,45.324644,8.400689,0.031194,8.369495,-8.338301,
1980,53.725333,173.194.4.74,192.168.43.46,TLSv1.2,1117,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,53.756527,53.725333,0.031194,0.840286,-0.809092,1.649378,
1985,53.756527,173.194.4.74,192.168.43.46,TLSv1.2,1117,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,54.596813,53.756527,0.840286,2.286061,-1.445775,3.731836,
2007,54.596813,173.194.4.74,192.168.43.46,TLSv1.2,923,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,56.882874,54.596813,2.286061,,2.286061,,
2066,56.882874,52.43.166.90,192.168.43.46,TLSv1,91,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,total delay,53.940891,,,total jitter,42.420894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,rata2 delay,0.018082766,,,rata2 jitter,0.014220885
